Age Group,Gender,Country,Education Level,Recent Job Title,Coding Experience,Industry,Company Size,Num Language,Average Annual Salary ($USD)
30-34,Man,Other,Master’s degree,Software Engineer,5-10 ,Computers/Technology,50-249 ,4,54999.5
30-34,Man,India,Master’s degree,Business Analyst,1-3 ,Computers/Technology,"10,000 or more ",1,22499.5
25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 ,Retail/Sales,"10,000 or more ",3,22499.5
25-29,Man,United States of America,Master’s degree,Data Scientist,1-3 ,Online Service/Internet-based Services,"1000-9,999 ",2,74999.5
25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 ,Accounting/Finance,"1000-9,999 ",2,12499.5
30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 ,Accounting/Finance,"10,000 or more ",2,64999.5
55-59,Man,United States of America,Bachelor’s degree,Other,1-3 ,Medical/Pharmaceutical,"1000-9,999 ",2,74999.5
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Academics/Education,0-49 ,3,499.5
25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 ,Academics/Education,"1000-9,999 ",1,12499.5
40-44,Man,Italy,Master’s degree,Software Engineer,20+ ,Non-profit/Service,0-49 ,4,44999.5
25-29,Man,India,Master’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",2,8749.5
22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,250-999 ,1,1499.5
25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,3,4499.5
40-44,Woman,United States of America,Master’s degree,Other,5-10 ,Academics/Education,50-249 ,1,27499.5
35-39,Man,France,Doctoral degree,Software Engineer,10-20 ,Online Service/Internet-based Services,0-49 ,3,27499.5
30-34,Man,India,Master’s degree,Data Analyst,1-3 ,Computers/Technology,"10,000 or more ",2,0.0
22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 ,Manufacturing/Fabrication,"1000-9,999 ",3,1499.5
45-49,Man,Poland,Master’s degree,Other,1-3 ,Insurance/Risk Assessment,"10,000 or more ",1,54999.5
18-21,Man,Other,Bachelor’s degree,Other,1-3 ,Academics/Education,0-49 ,3,0.0
60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 ,Computers/Technology,0-49 ,5,12499.5
25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 ,Energy/Mining,250-999 ,2,12499.5
35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 ,Broadcasting/Communications,"10,000 or more ",3,34999.5
18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 ,Government/Public Service,250-999 ,1,0.0
40-44,Man,India,Master’s degree,Program/Project Manager,10-20 ,Computers/Technology,"10,000 or more ",4,64999.5
30-34,Man,Poland,Master’s degree,Data Scientist,20+ ,Medical/Pharmaceutical,50-249 ,2,34999.5
60-69,Man,India,Master’s degree,Other,1-3 ,Other,"10,000 or more ",2,499.5
40-44,Man,France,Doctoral degree,Research Scientist,5-10 ,Academics/Education,50-249 ,4,44999.5
22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 ,Academics/Education,0-49 ,4,499.5
30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 ,Academics/Education,"1000-9,999 ",2,54999.5
45-49,Man,Chile,Master’s degree,Data Scientist,3-5 ,Energy/Mining,"1000-9,999 ",2,44999.5
18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 ,Online Business/Internet-based Sales,50-249 ,1,4499.5
25-29,Man,Other,Master’s degree,Software Engineer,10-20 ,Computers/Technology,0-49 ,3,44999.5
30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 ,Marketing/CRM,"1000-9,999 ",1,27499.5
25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 ,Marketing/CRM,50-249 ,2,499.5
40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 ,Computers/Technology,50-249 ,6,12499.5
25-29,Man,India,Master’s degree,Data Scientist,< 1 ,Computers/Technology,0-49 ,1,499.5
30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 ,Accounting/Finance,50-249 ,1,499.5
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 ,Non-profit/Service,"10,000 or more ",2,84999.5
22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 ,Academics/Education,0-49 ,3,499.5
22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 ,Computers/Technology,50-249 ,5,6249.5
60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ ,Accounting/Finance,0-49 ,0,499.5
30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 ,Computers/Technology,50-249 ,2,27499.5
22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 ,Computers/Technology,0-49 ,3,499.5
25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 ,Computers/Technology,0-49 ,1,499.5
60-69,Man,United States of America,Master’s degree,Product Manager,20+ ,Computers/Technology,0-49 ,3,84999.5
22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",2,499.5
30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 ,Computers/Technology,250-999 ,3,12499.5
40-44,Man,Turkey,I prefer not to answer,Other,1-3 ,Academics/Education,0-49 ,1,8749.5
18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",3,499.5
30-34,Man,Turkey,Doctoral degree,Statistician,1-3 ,Academics/Education,250-999 ,1,499.5
22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 ,Computers/Technology,0-49 ,4,12499.5
35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 ,Energy/Mining,"1000-9,999 ",3,27499.5
18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 ,Online Business/Internet-based Sales,"1000-9,999 ",4,6249.5
35-39,Man,Egypt,Bachelor’s degree,Other,5-10 ,Other,250-999 ,7,27499.5
60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 ,Other,0-49 ,0,499.5
30-34,Man,India,Bachelor’s degree,Other,5-10 ,Computers/Technology,"10,000 or more ",2,34999.5
40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code,Manufacturing/Fabrication,"10,000 or more ",0,74999.5
30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 ,Marketing/CRM,50-249 ,2,64999.5
22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 ,Retail/Sales,50-249 ,2,499.5
40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 ,Shipping/Transportation,0-49 ,1,27499.5
25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 ,Computers/Technology,50-249 ,2,22499.5
25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 ,Academics/Education,50-249 ,2,4499.5
30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 ,Broadcasting/Communications,0-49 ,2,17499.5
30-34,Man,India,Master’s degree,Data Scientist,10-20 ,Online Business/Internet-based Sales,"1000-9,999 ",1,64999.5
30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 ,Shipping/Transportation,"10,000 or more ",0,44999.5
22-24,Man,India,Master’s degree,Software Engineer,5-10 ,Online Service/Internet-based Services,"10,000 or more ",2,0.0
22-24,Man,France,Master’s degree,Data Scientist,3-5 ,Manufacturing/Fabrication,"1000-9,999 ",1,12499.5
55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,20+ ,Computers/Technology,50-249 ,6,1499.5
35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 ,Academics/Education,"1000-9,999 ",1,64999.5
30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 ,Shipping/Transportation,"1000-9,999 ",4,1499.5
30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 ,Computers/Technology,"10,000 or more ",4,34999.5
30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,"10,000 or more ",2,12499.5
35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 ,Retail/Sales,250-999 ,3,22499.5
70+,Man,Australia,Master’s degree,Other,20+ ,Computers/Technology,"10,000 or more ",3,6249.5
18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 ,Other,0-49 ,2,499.5
45-49,Man,Portugal,No formal education past high school,Other,< 1 ,Other,"1000-9,999 ",1,12499.5
18-21,Man,Other,Master’s degree,Software Engineer,3-5 ,Computers/Technology,0-49 ,7,3499.5
25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,5-10 ,Accounting/Finance,"10,000 or more ",1,8749.5
25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,5-10 ,Computers/Technology,"1000-9,999 ",3,64999.5
25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Manufacturing/Fabrication,"10,000 or more ",3,12499.5
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,"10,000 or more ",2,4499.5
22-24,Man,China,Master’s degree,Data Scientist,1-3 ,Manufacturing/Fabrication,0-49 ,1,499.5
25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 ,Academics/Education,0-49 ,2,499.5
50-54,Man,Austria,No formal education past high school,Software Engineer,20+ ,Shipping/Transportation,"1000-9,999 ",3,74999.5
45-49,Man,Sweden,Master’s degree,Software Engineer,20+ ,Accounting/Finance,0-49 ,2,0.0
40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,"1000-9,999 ",3,2499.5
35-39,Man,France,Master’s degree,Data Scientist,< 1 ,Energy/Mining,250-999 ,1,64999.5
25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 ,Other,"10,000 or more ",2,34999.5
22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 ,Other,0-49 ,3,499.5
25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 ,Online Business/Internet-based Sales,0-49 ,1,499.5
22-24,Man,United States of America,Master’s degree,Other,3-5 ,Computers/Technology,250-999 ,2,74999.5
35-39,Woman,India,Doctoral degree,Research Scientist,1-3 ,Academics/Education,0-49 ,2,1499.5
55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 ,Computers/Technology,"10,000 or more ",1,499.5
40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 ,Online Service/Internet-based Services,250-999 ,2,0.0
30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,"10,000 or more ",2,34999.5
25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 ,Computers/Technology,"1000-9,999 ",1,2499.5
35-39,Man,Indonesia,No formal education past high school,Data Scientist,I have never written code,Academics/Education,"10,000 or more ",0,499.5
30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 ,Computers/Technology,250-999 ,2,3499.5
25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 ,Energy/Mining,"10,000 or more ",3,6249.5
35-39,Woman,Other,Master’s degree,Data Analyst,10-20 ,Computers/Technology,0-49 ,3,0.0
45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist,10-20 ,Academics/Education,0-49 ,2,499.5
25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 ,Academics/Education,50-249 ,1,499.5
25-29,Woman,India,Master’s degree,Data Analyst,1-3 ,Online Business/Internet-based Sales,250-999 ,2,499.5
25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 ,Computers/Technology,0-49 ,4,499.5
22-24,Man,South Korea,Bachelor’s degree,Other,1-3 ,Military/Security/Defense,"10,000 or more ",1,3499.5
35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 ,Computers/Technology,"10,000 or more ",4,2499.5
40-44,Man,Canada,Master’s degree,Data Analyst,< 1 ,Academics/Education,0-49 ,2,499.5
30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 ,Manufacturing/Fabrication,"1000-9,999 ",3,12499.5
35-39,Man,Russia,Bachelor’s degree,Other,< 1 ,Manufacturing/Fabrication,"10,000 or more ",0,22499.5
22-24,Woman,India,Master’s degree,Research Scientist,I have never written code,Academics/Education,0-49 ,0,499.5
22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 ,Hospitality/Entertainment/Sports,"1000-9,999 ",5,2499.5
45-49,Man,Other,Master’s degree,Business Analyst,< 1 ,Government/Public Service,"1000-9,999 ",1,6249.5
30-34,Woman,United States of America,Master’s degree,Data Engineer,I have never written code,Computers/Technology,250-999 ,0,499.5
40-44,Man,Mexico,Master’s degree,Business Analyst,20+ ,Other,0-49 ,2,34999.5
30-34,Woman,India,Master’s degree,Research Scientist,3-5 ,Computers/Technology,"1000-9,999 ",2,8749.5
25-29,Prefer not to say,Germany,Doctoral degree,Research Scientist,3-5 ,Academics/Education,250-999 ,4,54999.5
25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Academics/Education,50-249 ,2,3499.5
45-49,Man,India,Master’s degree,Statistician,20+ ,Other,50-249 ,1,27499.5
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,10-20 ,Computers/Technology,"10,000 or more ",1,74999.5
30-34,Nonbinary,Kenya,Bachelor’s degree,Machine Learning Engineer,5-10 ,Marketing/CRM,0-49 ,4,12499.5
35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 ,Academics/Education,0-49 ,1,8749.5
60-69,Man,Chile,Master’s degree,Other,20+ ,Academics/Education,250-999 ,3,499.5
22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,50-249 ,1,17499.5
18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 ,Non-profit/Service,0-49 ,1,499.5
60-69,Man,United States of America,Bachelor’s degree,Software Engineer,10-20 ,Other,0-49 ,2,0.0
25-29,Man,India,Master’s degree,Data Scientist,3-5 ,Computers/Technology,"10,000 or more ",1,27499.5
40-44,Man,Japan,Bachelor’s degree,Data Scientist,< 1 ,Retail/Sales,0-49 ,1,1499.5
25-29,Man,France,Master’s degree,Data Scientist,1-3 ,Insurance/Risk Assessment,"1000-9,999 ",3,0.0
35-39,Man,Nigeria,Master’s degree,Software Engineer,1-3 ,Government/Public Service,"1000-9,999 ",3,499.5
35-39,Man,Sweden,Doctoral degree,Research Scientist,5-10 ,Academics/Education,0-49 ,3,4499.5
40-44,Man,France,Doctoral degree,Data Scientist,10-20 ,Computers/Technology,0-49 ,2,44999.5
25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 ,Insurance/Risk Assessment,0-49 ,2,12499.5
35-39,Man,South Africa,Master’s degree,Data Scientist,5-10 ,Computers/Technology,"10,000 or more ",6,3499.5
45-49,Man,Russia,Master’s degree,Product Manager,3-5 ,Computers/Technology,0-49 ,1,499.5
25-29,Man,Sri Lanka,Master’s degree,Data Scientist,5-10 ,Accounting/Finance,0-49 ,3,499.5
40-44,Man,Saudi Arabia,Master’s degree,Other,3-5 ,Academics/Education,250-999 ,1,64999.5
25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 ,Academics/Education,250-999 ,2,1499.5
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 ,Other,0-49 ,1,499.5
50-54,Man,Portugal,Doctoral degree,Research Scientist,10-20 ,Computers/Technology,50-249 ,4,27499.5
30-34,Man,India,Master’s degree,Data Scientist,< 1 ,Academics/Education,50-249 ,3,499.5
55-59,Man,Netherlands,Doctoral degree,Data Scientist,20+ ,Other,50-249 ,2,74999.5
35-39,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 ,Computers/Technology,"1000-9,999 ",4,27499.5
25-29,Man,India,Master’s degree,Data Scientist,3-5 ,Manufacturing/Fabrication,"1000-9,999 ",3,22499.5
22-24,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,0-49 ,2,499.5
30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 ,Computers/Technology,"10,000 or more ",2,2499.5
30-34,Man,Ghana,Master’s degree,Software Engineer,5-10 ,Academics/Education,"1000-9,999 ",3,6249.5
40-44,Man,India,Master’s degree,Data Engineer,5-10 ,Academics/Education,250-999 ,2,499.5
35-39,Man,India,Doctoral degree,Software Engineer,1-3 ,Computers/Technology,0-49 ,2,3499.5
22-24,Man,Egypt,Master’s degree,Data Scientist,< 1 ,Academics/Education,50-249 ,1,8749.5
22-24,Man,Poland,Master’s degree,Business Analyst,< 1 ,Accounting/Finance,50-249 ,0,1499.5
35-39,Man,United States of America,Bachelor’s degree,Business Analyst,5-10 ,Retail/Sales,"10,000 or more ",3,74999.5
25-29,Man,India,Bachelor’s degree,Other,I have never written code,Medical/Pharmaceutical,0-49 ,0,4499.5
25-29,Man,Canada,Bachelor’s degree,Other,< 1 ,Accounting/Finance,250-999 ,0,34999.5
18-21,Man,India,Bachelor’s degree,DBA/Database Engineer,1-3 ,Computers/Technology,50-249 ,2,0.0
25-29,Man,Mexico,Master’s degree,Data Scientist,3-5 ,Accounting/Finance,250-999 ,3,27499.5
50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ ,Computers/Technology,0-49 ,4,64999.5
35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,5-10 ,Academics/Education,50-249 ,2,2499.5
25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 ,Medical/Pharmaceutical,"10,000 or more ",2,12499.5
60-69,Man,India,Master’s degree,Software Engineer,10-20 ,Online Service/Internet-based Services,0-49 ,3,12499.5
60-69,Man,India,Bachelor’s degree,Program/Project Manager,5-10 ,Accounting/Finance,"10,000 or more ",0,4499.5
22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 ,Accounting/Finance,0-49 ,3,499.5
25-29,Man,Malaysia,Doctoral degree,Data Scientist,1-3 ,Academics/Education,0-49 ,2,499.5
25-29,Woman,Thailand,Bachelor’s degree,Other,I have never written code,Medical/Pharmaceutical,50-249 ,0,499.5
18-21,Woman,Colombia,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 ,Manufacturing/Fabrication,0-49 ,3,499.5
45-49,Man,Japan,Master’s degree,Other,10-20 ,Computers/Technology,250-999 ,2,64999.5
25-29,Woman,Spain,Master’s degree,Software Engineer,1-3 ,Accounting/Finance,50-249 ,3,0.0
40-44,Man,Australia,Master’s degree,Data Engineer,10-20 ,Medical/Pharmaceutical,250-999 ,2,74999.5
50-54,Man,Israel,Master’s degree,Product Manager,20+ ,Computers/Technology,"1000-9,999 ",6,54999.5
25-29,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 ,Other,50-249 ,4,1499.5
18-21,Man,Indonesia,Master’s degree,Research Scientist,< 1 ,Energy/Mining,50-249 ,3,499.5
50-54,Man,Spain,Bachelor’s degree,Data Analyst,1-3 ,Online Service/Internet-based Services,50-249 ,1,64999.5
35-39,Man,Greece,Doctoral degree,Data Scientist,10-20 ,Shipping/Transportation,50-249 ,2,17499.5
40-44,Man,Ukraine,Master’s degree,Software Engineer,20+ ,Accounting/Finance,0-49 ,6,499.5
22-24,Woman,Brazil,Master’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,2,4499.5
35-39,Woman,India,Doctoral degree,Research Scientist,5-10 ,Academics/Education,0-49 ,5,499.5
25-29,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 ,Broadcasting/Communications,"10,000 or more ",4,6249.5
25-29,Man,Russia,Master’s degree,Data Scientist,1-3 ,Energy/Mining,250-999 ,1,17499.5
18-21,Woman,United States of America,Master’s degree,Other,5-10 ,Other,0-49 ,4,499.5
55-59,Woman,Turkey,Doctoral degree,Statistician,5-10 ,Academics/Education,50-249 ,1,8749.5
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,< 1 ,Retail/Sales,50-249 ,1,2499.5
22-24,Man,India,Bachelor’s degree,Business Analyst,3-5 ,Government/Public Service,"10,000 or more ",3,12499.5
25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,"10,000 or more ",1,499.5
30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 ,Accounting/Finance,50-249 ,6,22499.5
25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,5-10 ,Insurance/Risk Assessment,0-49 ,7,12499.5
40-44,Prefer not to say,India,Bachelor’s degree,Software Engineer,10-20 ,Online Service/Internet-based Services,0-49 ,5,8749.5
25-29,Man,Other,Master’s degree,Data Scientist,1-3 ,Other,0-49 ,2,499.5
45-49,Man,Saudi Arabia,Bachelor’s degree,Other,1-3 ,Computers/Technology,"10,000 or more ",1,44999.5
35-39,Woman,Egypt,Doctoral degree,Research Scientist,1-3 ,Other,"1000-9,999 ",1,4499.5
30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 ,Manufacturing/Fabrication,0-49 ,2,27499.5
30-34,Woman,Italy,Bachelor’s degree,Business Analyst,< 1 ,Accounting/Finance,0-49 ,5,1499.5
18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,0-49 ,1,499.5
35-39,Man,Mexico,Master’s degree,Statistician,5-10 ,Insurance/Risk Assessment,"10,000 or more ",2,34999.5
30-34,Man,Indonesia,Master’s degree,Data Analyst,5-10 ,Academics/Education,50-249 ,3,6249.5
22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 ,Accounting/Finance,"10,000 or more ",3,22499.5
22-24,Man,Spain,Some college/university study without earning a bachelor’s degree,Other,< 1 ,Academics/Education,0-49 ,2,499.5
22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,1-3 ,Hospitality/Entertainment/Sports,0-49 ,3,1499.5
18-21,Man,Indonesia,Bachelor’s degree,Machine Learning Engineer,3-5 ,Academics/Education,250-999 ,3,499.5
30-34,Man,India,Doctoral degree,Research Scientist,< 1 ,Academics/Education,250-999 ,1,3499.5
25-29,Man,Indonesia,Doctoral degree,Statistician,1-3 ,Academics/Education,0-49 ,1,499.5
